code,name,department_code,description
13654,San Jacinto,13,San Jacinto
13655,San Jacinto Del Cauca,13,San Jacinto Del Cauca
13657,San Juan Nepomuceno,13,San Juan Nepomuceno
13667,San Martín De Loba,13,San Martín De Loba
13670,San Pablo,13,San Pablo
13673,Santa Catalina,13,Santa Catalina
13683,Santa Rosa,13,Santa Rosa
13688,Santa Rosa Del Sur,13,Santa Rosa Del Sur
13744,Simití,13,Simití
13760,Soplaviento,13,Soplaviento
13780,Talaigua Nuevo,13,Talaigua Nuevo
13810,Tiquisio,13,Tiquisio
13836,Turbaco,13,Turbaco
13838,Turbaná,13,Turbaná
13873,Villanueva,13,Villanueva
13894,Zambrano,13,Zambrano
15001,Tunja,15,Tunja
15022,Almeida,15,Almeida
15047,Aquitania,15,Aquitania
15051,Arcabuco,15,Arcabuco
15087,Belén,15,Belén
15090,Berbeo,15,Berbeo
15092,Betéitiva,15,Betéitiva
15097,Boavita,15,Boavita
15104,Boyacá,15,Boyacá
15106,Briceño,15,Briceño
15109,Buenavista,15,Buenavista
15114,Busbanzá,15,Busbanzá
15131,Caldas,15,Caldas
15135,Campohermoso,15,Campohermoso
15162,Cerinza,15,Cerinza
15172,Chinavita,15,Chinavita
15176,Chiquinquirá,15,Chiquinquirá
15180,Chiscas,15,Chiscas
15183,Chita,15,Chita
15185,Chitaraque,15,Chitaraque
15187,Chivatá,15,Chivatá
15189,Ciénega,15,Ciénega
15204,Cómbita,15,Cómbita
15212,Coper,15,Coper
15215,Corrales,15,Corrales
15218,Covarachía,15,Covarachía
15223,Cubará,15,Cubará
15224,Cucaita,15,Cucaita
15226,Cuítiva,15,Cuítiva
15232,Chíquiza,15,Chíquiza
15236,Chivor,15,Chivor
15238,Duitama,15,Duitama
15244,El Cocuy,15,El Cocuy
15248,El Espino,15,El Espino
15272,Firavitoba,15,Firavitoba
15276,Floresta,15,Floresta
15293,Gachantivá,15,Gachantivá
15296,Gámeza,15,Gámeza
15299,Garagoa,15,Garagoa
15317,Guacamayas,15,Guacamayas
15322,Guateque,15,Guateque
15325,Guayatá,15,Guayatá
15332,Güicán De La Sierra,15,Güicán De La Sierra
15362,Iza,15,Iza
15367,Jenesano,15,Jenesano
15368,Jericó,15,Jericó
15377,Labranzagrande,15,Labranzagrande
15380,La Capilla,15,La Capilla
15401,La Victoria,15,La Victoria
15403,La Uvita,15,La Uvita
15407,Villa De Leyva,15,Villa De Leyva
15425,Macanal,15,Macanal
15442,Maripí,15,Maripí
15455,Miraflores,15,Miraflores
15464,Mongua,15,Mongua
15466,Monguí,15,Monguí
15469,Moniquirá,15,Moniquirá
15476,Motavita,15,Motavita
15480,Muzo,15,Muzo
15491,Nobsa,15,Nobsa
15494,Nuevo Colón,15,Nuevo Colón
15500,Oicatá,15,Oicatá
15507,Otanche,15,Otanche
15511,Pachavita,15,Pachavita
15514,Páez,15,Páez
15516,Paipa,15,Paipa
15518,Pajarito,15,Pajarito
15522,Panqueba,15,Panqueba
15531,Pauna,15,Pauna
15533,Paya,15,Paya
15537,Paz De Río,15,Paz De Río
15542,Pesca,15,Pesca
15550,Pisba,15,Pisba
15572,Puerto Boyacá,15,Puerto Boyacá
15580,Quípama,15,Quípama
15599,Ramiriquí,15,Ramiriquí
15600,Ráquira,15,Ráquira
15621,Rondón,15,Rondón
15632,Saboyá,15,Saboyá
15638,Sáchica,15,Sáchica
15646,Samacá,15,Samacá
15660,San Eduardo,15,San Eduardo
15664,San José De Pare,15,San José De Pare
15667,San Luis De Gaceno,15,San Luis De Gaceno
15673,San Mateo,15,San Mateo
15676,San Miguel De Sema,15,San Miguel De Sema
15681,San Pablo De Borbur,15,San Pablo De Borbur
15686,Santana,15,Santana
15690,Santa María,15,Santa María
15693,Santa Rosa De Viterbo,15,Santa Rosa De Viterbo
15696,Santa Sofía,15,Santa Sofía
